fichier,niveau,n_tokens,n_covered,Meanconc
A1_1.txt,A1,156,140,2.15
A1_10.txt,A1,151,135,2.45
A1_11__NT2.txt,A1,137,124,2.11
A1_12_NT2.txt,A1,86,80,2.58
A1_13_NT2.txt,A1,78,75,2.66
A1_14_NT2.txt,A1,116,113,2.15
A1_15_NT2.txt,A1,176,171,2.16
A1_16_NT2.txt,A1,155,144,2.06
A1_17_NT2.txt,A1,131,115,2.39
A1_18_NT2.txt,A1,230,218,2.07
A1_19_NT2.txt,A1,261,255,2.0
A1_2.txt,A1,180,165,2.72
A1_20_NT2.txt,A1,184,179,2.37
A1_21_NT2.txt,A1,88,78,2.43
A1_22_NT2.txt,A1,194,175,2.33
A1_3.txt,A1,160,142,2.36
A1_4.txt,A1,174,164,2.51
A1_5_B.txt,A1,47,37,1.85
A1_6_B.txt,A1,107,75,2.44
A1_7_B.txt,A1,102,74,2.29
A1_8.txt,A1,163,152,2.2
A1_9.txt,A1,114,101,2.76
A2_1.txt,A2,204,198,2.68
A2_10.txt,A2,218,167,2.18
A2_11.txt,A2,104,101,2.45
A2_12.txt,A2,119,113,2.36
A2_13.txt,A2,129,114,2.39
A2_14.txt,A2,128,116,2.37
A2_15.txt,A2,125,114,2.31
A2_16.txt,A2,121,110,2.55
A2_17.txt,A2,125,112,2.27
A2_18.txt,A2,122,112,2.4
A2_19.txt,A2,132,131,2.73
A2_2.txt,A2,145,124,2.23
A2_20_NT2.txt,A2,253,222,2.13
A2_21_NT2.txt,A2,209,187,2.12
A2_22_NT2.txt,A2,280,266,2.04
A2_23_NT2.txt,A2,303,284,2.43
A2_24_NT2.txt,A2,399,384,2.06
A2_25_NT2.txt,A2,283,265,2.31
A2_26_NT2.txt,A2,288,263,2.24
A2_27_NT2.txt,A2,196,180,2.05
A2_28_NT2.txt,A2,325,316,2.0
A2_29_NT2.txt,A2,207,200,2.11
A2_3.txt,A2,192,182,2.61
A2_30_NT2.txt,A2,354,344,1.99
A2_31_NT2.txt,A2,253,244,2.36
A2_32_CNAVT.txt,A2,131,121,2.17
A2_33_CNAVT.txt,A2,576,541,2.27
A2_34_CNAVT.txt,A2,58,54,1.95
A2_35_CNAVT.txt,A2,52,50,2.17
A2_36_CNAVT.txt,A2,49,46,2.1
A2_37_CNAVT.txt,A2,68,64,2.14
A2_38_CNAVT.txt,A2,306,281,2.23
A2_39_CNAVT.txt,A2,350,319,2.19
A2_4.txt,A2,144,141,2.54
A2_5.txt,A2,151,138,2.55
A2_6.txt,A2,165,163,2.43
A2_7.txt,A2,172,167,2.78
A2_8.txt,A2,229,202,2.4
A2_9.txt,A2,184,181,2.56
B1_1.txt,B1,204,162,2.14
B1_10.txt,B1,107,100,2.19
B1_11.txt,B1,191,179,2.11
B1_12.txt,B1,120,109,2.38
B1_13.txt,B1,121,110,2.36
B1_14.txt,B1,166,145,2.63
B1_15.txt,B1,250,235,2.1
B1_16.txt,B1,146,139,2.09
B1_17.txt,B1,262,240,2.1
B1_18_CNAVT.txt,B1,490,440,2.03
B1_19_CNAVT.txt,B1,279,255,2.12
B1_2.txt,B1,150,132,2.77
B1_20_CNAVT.txt,B1,574,512,2.04
B1_21_CNAVT.txt,B1,160,147,2.23
B1_22_NT2.txt,B1,499,480,2.02
B1_23_NT2.txt,B1,276,246,2.15
B1_24_NT2.txt,B1,315,302,2.1
B1_25_NT2.txt,B1,371,350,2.16
B1_26_NT2.txt,B1,365,345,2.38
B1_27_NT2.txt,B1,327,311,2.42
B1_28_NT2.txt,B1,252,226,2.32
B1_29_NT2.txt,B1,472,436,2.32
B1_3.txt,B1,214,206,2.38
B1_30_NT2.txt,B1,269,246,2.04
B1_31_NT2.txt,B1,548,525,2.06
B1_32_NT2.txt,B1,615,579,2.13
B1_33_NT2.txt,B1,289,274,2.22
B1_34_NT2.txt,B1,377,347,2.11
B1_35_NT2.txt,B1,493,460,1.94
B1_36_NT2.txt,B1,639,547,2.13
B1_37_NT2.txt,B1,800,684,2.04
B1_38_NT2.txt,B1,797,734,2.15
B1_39_NT2.txt,B1,476,426,2.14
B1_4.txt,B1,252,208,2.39
B1_40_NT2.txt,B1,971,828,1.88
B1_5.txt,B1,181,167,2.61
B1_6.txt,B1,179,160,2.26
B1_7.txt,B1,202,179,2.2
B1_8.txt,B1,147,139,2.35
B1_9.txt,B1,221,207,2.21
B2_1.txt,B2,158,143,2.29
B2_2.txt,B2,180,170,2.05
B2_24.txt,B2,124,105,2.23
B2_25.txt,B2,130,112,2.24
B2_26.txt,B2,123,106,2.19
B2_27.txt,B2,129,114,2.42
B2_28.txt,B2,127,116,2.44
B2_29.txt,B2,106,91,2.13
B2_30_CNAVT.txt,B2,249,222,2.0
B2_31_CNAVT.txt,B2,88,80,1.83
B2_32_CNAVT.txt,B2,87,78,1.97
B2_33_CNAVT.txt,B2,210,191,1.97
B2_34_CNAVT.txt,B2,392,356,1.96
B2_35_CNAVT.txt,B2,193,173,2.02
B2_36_CNAVT.txt,B2,133,115,1.86
B2_37_CNAVT.txt,B2,128,117,1.9
B2_38_CNAVT.txt,B2,113,98,2.06
B2_39_CNAVT.txt,B2,106,90,1.92
B2_40_CNAVT.txt,B2,125,111,2.01
B2_41_CNAVT.txt,B2,816,701,1.93
B2_42_CNAVT.txt,B2,957,882,2.14
B2_COMPROF10.txt,B2,407,363,1.9
B2_COMPROF11.txt,B2,488,433,1.99
B2_COMPROF12.txt,B2,468,414,2.05
B2_COMPROF13.txt,B2,338,294,1.93
B2_COMPROF14.txt,B2,394,342,1.96
B2_COMPROF15.txt,B2,463,415,2.01
B2_COMPROF16.txt,B2,198,174,1.92
B2_COMPROF17.txt,B2,154,140,2.13
