fichier,niveau,mean_fl,median_fl,p75_fl,p90_fl
A1_1.txt,A1,194546.0064102564,36619.0,361356.0,615217.0
A1_10.txt,A1,192664.19867549668,38916.0,352836.0,642703.0
A1_11__NT2.txt,A1,188346.0291970803,64382.0,245806.0,642703.0
A1_12_NT2.txt,A1,112618.37209302325,13434.5,105039.75,352580.5
A1_13_NT2.txt,A1,143188.15384615384,9064.5,133036.0,443728.49999999953
A1_14_NT2.txt,A1,187384.52586206896,32112.0,247171.0,615217.0
A1_15_NT2.txt,A1,195549.8465909091,42467.0,168804.5,642703.0
A1_16_NT2.txt,A1,143319.11612903225,35504.0,217914.5,553695.0
A1_17_NT2.txt,A1,199789.80916030533,17675.0,244161.5,750148.0
A1_18_NT2.txt,A1,256326.21739130435,80592.0,396600.0,642703.0
A1_19_NT2.txt,A1,180130.4214559387,55904.0,245806.0,615217.0
A1_2.txt,A1,240206.78333333333,23551.5,553695.0,750148.0
A1_20_NT2.txt,A1,175554.77173913043,54577.0,242517.0,561131.0
A1_21_NT2.txt,A1,196408.5,43445.0,251091.25,555925.7999999999
A1_22_NT2.txt,A1,167138.38144329897,32301.0,247171.0,553695.0
A1_3.txt,A1,159614.8125,25484.0,266947.0,642703.0
A1_4.txt,A1,198917.36781609195,44604.0,386916.0,634457.2000000004
A1_5_B.txt,A1,165931.1489361702,29769.0,205151.0,626211.3999999999
A1_6_B.txt,A1,99414.89719626168,7500.0,78642.5,386916.0
A1_7_B.txt,A1,107006.05882352941,15105.5,92075.75,383508.0000000002
A1_8.txt,A1,223657.2883435583,71427.0,299934.0,642703.0
A1_9.txt,A1,155141.5,9321.5,205151.0,615217.0
A2_1.txt,A2,234879.431372549,29208.0,352836.0,717914.5000000019
A2_10.txt,A2,261501.1605504587,33008.5,561131.0,750148.0
A2_11.txt,A2,238915.92307692306,30303.0,363777.0,750148.0
A2_12.txt,A2,243462.36974789915,43445.0,396600.0,750148.0
A2_13.txt,A2,202226.13953488372,43445.0,247171.0,642703.0
A2_14.txt,A2,165774.9375,20656.5,234460.0,561131.0
A2_15.txt,A2,216514.496,87050.0,299934.0,642703.0
A2_16.txt,A2,190563.89256198346,42240.0,245806.0,642703.0
A2_17.txt,A2,149892.648,19082.0,245806.0,553695.0
A2_18.txt,A2,222947.00819672132,54577.0,514421.25,642703.0
A2_19.txt,A2,243836.81818181818,64382.0,553695.0,750148.0
A2_2.txt,A2,251066.4275862069,54577.0,396600.0,750148.0
A2_20_NT2.txt,A2,209415.12648221344,34566.0,308561.0,750148.0
A2_21_NT2.txt,A2,158555.08133971292,16060.0,230678.0,615217.0
A2_22_NT2.txt,A2,235844.21071428573,43445.0,260361.75,1130556.0
A2_23_NT2.txt,A2,221027.82178217822,45763.0,299934.0,750148.0
A2_24_NT2.txt,A2,154696.9097744361,50884.0,135500.0,561131.0
A2_25_NT2.txt,A2,202181.5512367491,30706.0,245806.0,750148.0
A2_26_NT2.txt,A2,232854.90277777778,54577.0,396600.0,750148.0
