niveau_CECR,level_1,MeanSentL
A1,Moyenne,8.79
A1,Écart-Type,2.47
A1,Min,4.07
A1,Q25,7.27
A1,Méd.,8.78
A1,Q75,10.2
A1,Max,15.18
A2,Moyenne,9.91
A2,Écart-Type,2.32
A2,Min,3.76
A2,Q25,8.72
A2,Méd.,9.86
A2,Q75,10.93
A2,Max,17.0
B1,Moyenne,11.29
B1,Écart-Type,2.98
B1,Min,5.33
B1,Q25,9.73
B1,Méd.,10.99
B1,Q75,13.64
B1,Max,17.31
B2,Moyenne,13.53
B2,Écart-Type,3.94
B2,Min,4.78
B2,Q25,10.81
B2,Méd.,13.32
B2,Q75,15.66
B2,Max,23.57
C1-C2,Moyenne,16.04
C1-C2,Écart-Type,3.36
C1-C2,Min,9.0
C1-C2,Q25,14.43
C1-C2,Méd.,16.47
C1-C2,Q75,17.8
C1-C2,Max,26.83
