fichier,niveau_CECR,NbSubord
A1_1.txt,A1,7
A1_10.txt,A1,4
A1_11__NT2.txt,A1,20
A1_12_NT2.txt,A1,4
A1_13_NT2.txt,A1,8
A1_14_NT2.txt,A1,7
A1_15_NT2.txt,A1,9
A1_16_NT2.txt,A1,14
A1_17_NT2.txt,A1,3
A1_18_NT2.txt,A1,18
A1_19_NT2.txt,A1,25
A1_2.txt,A1,2
A1_20_NT2.txt,A1,8
A1_21_NT2.txt,A1,5
A1_22_NT2.txt,A1,14
A1_3.txt,A1,5
A1_4.txt,A1,9
A1_5_B.txt,A1,0
A1_6_B.txt,A1,1
A1_7_B.txt,A1,3
A1_8.txt,A1,17
A1_9.txt,A1,2
A2_1.txt,A2,4
A2_10.txt,A2,7
A2_11.txt,A2,4
A2_12.txt,A2,6
A2_13.txt,A2,7
A2_14.txt,A2,7
A2_15.txt,A2,16
A2_16.txt,A2,2
A2_17.txt,A2,3
A2_18.txt,A2,3
A2_19.txt,A2,18
A2_2.txt,A2,4
A2_20_NT2.txt,A2,15
A2_21_NT2.txt,A2,15
A2_22_NT2.txt,A2,9
A2_23_NT2.txt,A2,17
A2_24_NT2.txt,A2,47
A2_25_NT2.txt,A2,19
A2_26_NT2.txt,A2,6
A2_27_NT2.txt,A2,12
A2_28_NT2.txt,A2,42
A2_29_NT2.txt,A2,19
A2_3.txt,A2,4
A2_30_NT2.txt,A2,35
A2_31_NT2.txt,A2,29
A2_32_CNAVT.txt,A2,13
A2_33_CNAVT.txt,A2,31
A2_34_CNAVT.txt,A2,7
A2_35_CNAVT.txt,A2,4
A2_36_CNAVT.txt,A2,4
A2_37_CNAVT.txt,A2,8
A2_38_CNAVT.txt,A2,17
A2_39_CNAVT.txt,A2,26
A2_4.txt,A2,5
A2_5.txt,A2,2
A2_6.txt,A2,24
A2_7.txt,A2,19
A2_8.txt,A2,7
A2_9.txt,A2,2
B1_1.txt,B1,2
B1_10.txt,B1,0
B1_11.txt,B1,19
B1_12.txt,B1,2
B1_13.txt,B1,4
B1_14.txt,B1,3
B1_15.txt,B1,36
B1_16.txt,B1,13
B1_17.txt,B1,22
B1_18_CNAVT.txt,B1,25
B1_19_CNAVT.txt,B1,16
B1_2.txt,B1,6
B1_20_CNAVT.txt,B1,21
B1_21_CNAVT.txt,B1,7
B1_22_NT2.txt,B1,17
B1_23_NT2.txt,B1,18
B1_24_NT2.txt,B1,20
B1_25_NT2.txt,B1,19
B1_26_NT2.txt,B1,19
B1_27_NT2.txt,B1,14
B1_28_NT2.txt,B1,5
B1_29_NT2.txt,B1,16
B1_3.txt,B1,3
B1_30_NT2.txt,B1,16
B1_31_NT2.txt,B1,47
B1_32_NT2.txt,B1,44
B1_33_NT2.txt,B1,14
B1_34_NT2.txt,B1,40
B1_35_NT2.txt,B1,52
B1_36_NT2.txt,B1,22
B1_37_NT2.txt,B1,27
B1_38_NT2.txt,B1,40
B1_39_NT2.txt,B1,46
B1_4.txt,B1,7
B1_40_NT2.txt,B1,44
B1_5.txt,B1,0
B1_6.txt,B1,5
B1_7.txt,B1,10
B1_8.txt,B1,6
B1_9.txt,B1,25
B2_1.txt,B2,0
B2_2.txt,B2,12
B2_24.txt,B2,10
B2_25.txt,B2,2
B2_26.txt,B2,4
B2_27.txt,B2,9
B2_28.txt,B2,9
B2_29.txt,B2,1
B2_30_CNAVT.txt,B2,10
B2_31_CNAVT.txt,B2,6
B2_32_CNAVT.txt,B2,8
B2_33_CNAVT.txt,B2,13
B2_34_CNAVT.txt,B2,25
B2_35_CNAVT.txt,B2,13
B2_36_CNAVT.txt,B2,6
B2_37_CNAVT.txt,B2,17
B2_38_CNAVT.txt,B2,19
B2_39_CNAVT.txt,B2,7
B2_40_CNAVT.txt,B2,2
B2_41_CNAVT.txt,B2,66
B2_42_CNAVT.txt,B2,70
B2_COMPROF10.txt,B2,25
B2_COMPROF11.txt,B2,46
B2_COMPROF12.txt,B2,28
B2_COMPROF13.txt,B2,30
B2_COMPROF14.txt,B2,31
B2_COMPROF15.txt,B2,41
B2_COMPROF16.txt,B2,20
B2_COMPROF17.txt,B2,10
B2_COMPROF18.txt,B2,23
B2_COMPROF19.txt,B2,22
B2_COMPROF20.txt,B2,16
B2_COMPROF21.txt,B2,26
B2_COMPROF22.txt,B2,10
B2_COMPROF23.txt,B2,5
B2_COMPROF3.txt,B2,30
B2_COMPROF4.txt,B2,43
B2_COMPROF5.txt,B2,18
B2_COMPROF6.txt,B2,23
B2_COMPROF7.txt,B2,16
B2_COMPROF8.txt,B2,31
B2_COMPROF9.txt,B2,16
C1_CNAVT1.txt,C1-C2,23
C1_CNAVT2.txt,C1-C2,18
C1_CNAVT3.txt,C1-C2,35
C1_CNAVT4.txt,C1-C2,16
C1_CNAVT5.txt,C1-C2,26
C1_CNAVT6.txt,C1-C2,36
C2_10_TIJD.txt,C1-C2,27
C2_11_TIJD.txt,C1-C2,11
C2_12_TIJD.txt,C1-C2,39
C2_13_TIJD.txt,C1-C2,16
C2_14_TIJD.txt,C1-C2,25
C2_15_TIJD.txt,C1-C2,27
C2_16_TIJD.txt,C1-C2,28
C2_17_TIJD.txt,C1-C2,59
C2_18_TIJD.txt,C1-C2,19
C2_19_TIJD.txt,C1-C2,14
C2_1_TIJD.txt,C1-C2,30
C2_20_TIJD.txt,C1-C2,66
C2_21_TIJD.txt,C1-C2,93
C2_22_TIJD.txt,C1-C2,25
C2_23_TIJD.txt,C1-C2,64
C2_24_TIJD.txt,C1-C2,115
