fichier,niveau_CECR,NbSubord,Nb_phrases_total,Nb_phrases_avec_sub,Prop_phrases_avec_sub
A1_1.txt,A1,7,23,1,0.043478260869565216
A1_10.txt,A1,4,22,3,0.13636363636363635
A1_11__NT2.txt,A1,20,17,1,0.058823529411764705
A1_12_NT2.txt,A1,4,13,1,0.07692307692307693
A1_13_NT2.txt,A1,8,9,1,0.1111111111111111
A1_14_NT2.txt,A1,7,15,0,0.0
A1_15_NT2.txt,A1,9,21,4,0.19047619047619047
A1_16_NT2.txt,A1,14,17,2,0.11764705882352941
A1_17_NT2.txt,A1,3,12,1,0.08333333333333333
A1_18_NT2.txt,A1,18,25,2,0.08
A1_19_NT2.txt,A1,25,37,7,0.1891891891891892
A1_2.txt,A1,2,27,2,0.07407407407407407
A1_20_NT2.txt,A1,8,22,5,0.22727272727272727
A1_21_NT2.txt,A1,5,9,3,0.3333333333333333
A1_22_NT2.txt,A1,14,22,4,0.18181818181818182
A1_3.txt,A1,5,20,3,0.15
A1_4.txt,A1,9,27,4,0.14814814814814814
A1_5_B.txt,A1,0,8,0,0.0
A1_6_B.txt,A1,1,28,0,0.0
A1_7_B.txt,A1,3,30,1,0.03333333333333333
A1_8.txt,A1,17,11,6,0.5454545454545454
A1_9.txt,A1,2,14,3,0.21428571428571427
A2_1.txt,A2,4,25,2,0.08
A2_10.txt,A2,7,24,5,0.20833333333333334
A2_11.txt,A2,4,13,0,0.0
A2_12.txt,A2,6,13,5,0.38461538461538464
A2_13.txt,A2,7,13,5,0.38461538461538464
A2_14.txt,A2,7,15,7,0.4666666666666667
A2_15.txt,A2,16,12,7,0.5833333333333334
A2_16.txt,A2,2,12,1,0.08333333333333333
A2_17.txt,A2,3,18,3,0.16666666666666666
A2_18.txt,A2,3,10,2,0.2
A2_19.txt,A2,18,12,2,0.16666666666666666
A2_2.txt,A2,4,17,3,0.17647058823529413
A2_20_NT2.txt,A2,15,30,3,0.1
A2_21_NT2.txt,A2,15,26,1,0.038461538461538464
A2_22_NT2.txt,A2,9,30,8,0.26666666666666666
A2_23_NT2.txt,A2,17,41,5,0.12195121951219512
A2_24_NT2.txt,A2,47,41,10,0.24390243902439024
A2_25_NT2.txt,A2,19,30,4,0.13333333333333333
A2_26_NT2.txt,A2,6,28,5,0.17857142857142858
A2_27_NT2.txt,A2,12,23,0,0.0
A2_28_NT2.txt,A2,42,47,8,0.1702127659574468
A2_29_NT2.txt,A2,19,26,6,0.23076923076923078
A2_3.txt,A2,4,22,0,0.0
A2_30_NT2.txt,A2,35,46,7,0.15217391304347827
A2_31_NT2.txt,A2,29,28,8,0.2857142857142857
A2_32_CNAVT.txt,A2,13,14,5,0.35714285714285715
A2_33_CNAVT.txt,A2,31,68,10,0.14705882352941177
A2_34_CNAVT.txt,A2,7,9,2,0.2222222222222222
A2_35_CNAVT.txt,A2,4,5,1,0.2
A2_36_CNAVT.txt,A2,4,5,2,0.4
A2_37_CNAVT.txt,A2,8,7,5,0.7142857142857143
A2_38_CNAVT.txt,A2,17,34,5,0.14705882352941177
A2_39_CNAVT.txt,A2,26,29,10,0.3448275862068966
A2_4.txt,A2,5,46,2,0.043478260869565216
A2_5.txt,A2,2,27,3,0.1111111111111111
